palabra	frecPos	frecNeg
lesbian	39	99
tryst	5	2
confounds	1	0
renders	13	5
uncertain	14	9
react	33	31
unfolds	52	17
slow	290	383
pace	199	139
wraps	8	5
amusing	140	154
ironic	59	41
kinky	10	15
twisted	71	45
rarity	16	4
nothing	800	1823
else	512	746
definitely	630	343
viewers	268	195
glued	23	16
screen	768	725
happy	355	224
go	1427	1646
luck	97	68
military	122	176
swashbuckler	4	0
rather	780	820
loosely	26	51
rudyard	4	0
kipling	7	0
memorable	268	122
poem	36	12
three	737	692
qualifies	18	10
first	2766	2626
entertainment	292	240
imperial	10	3
army	123	146
india	68	44
cary	34	18
grant	89	62
delivers	143	75
knock	51	44
blows	26	43
knuckled	1	1
fists	10	9
together	762	602
set	769	732
faraway	4	2
six	130	114
fisted	2	14
yarn	20	9
dwells	5	8
exploits	26	12
rugged	18	4
sergeants	11	2
native	64	71
water	164	162
bearer	11	1
gunga	37	0
din	47	0
sam	133	155
jaffe	14	1
contend	13	8
bloodthirsty	4	19
cult	127	150
murderous	43	28
indians	31	34
called	389	481
thuggee	3	0
sergeant	28	17
archibald	14	1
cutter	21	10
outpost	1	1
macchesney	6	0
oscar	354	155
winner	101	45
victor	93	63
mclaglen	33	3
informer	5	2
ballantine	6	0
douglas	121	75
fairbanks	23	2
jr	127	69
dawn	43	30
patrol	6	4
competitive	14	7
trio	36	27
hard	796	858
drinking	47	62
brawling	2	3
loving	147	43
alpha	7	10
males	14	23
whose	372	257
frolic	6	2
become	564	394
marry	79	49
emmy	19	8
stebbins	2	0
joan	119	76
fontaine	35	11
enter	63	52
tea	42	35
business	214	167
drum	16	5
assorted	8	6
schemes	9	8
derail	5	3
ballentine	4	0
superiors	18	3
order	295	287
back	1497	1479
sgt	20	14
bertie	2	2
higginbotham	2	0
robert	328	198
coote	3	0
sheik	1	5
steps	54	48
cannot	314	373
accompany	17	5
replace	20	25
half	418	782
principals	23	16
outwit	3	2
hating	14	23
george	302	241
stevens	27	29
celebrates	9	1
spirit	179	132
adventure	214	101
grand	116	64
style	508	411
heroes	113	79
tangle	5	0
thuggees	3	0
lenser	1	0
august	27	11
received	89	62
nomination	38	21
outstanding	197	48
looking	645	890
quo	8	4
vadis	4	1
video	389	650
store	137	189
looked	183	418
wow	109	165
amazing	620	166
ken	53	25
russell	71	53
kind	767	913
quirky	72	35
stylized	26	11
artistic	108	98
nero	3	2
presented	143	117
evil	390	461
incarnate	4	0
wacky	21	33
unfulfilled	4	5
emperor	18	25
circus	26	15
career	343	288
probably	878	886
earth	248	287
position	74	45
leading	209	163
empire	37	26
wasn	481	876
longed	8	3
klause	1	0
maria	92	35
bandaur	1	0
tremendous	73	13
worth	710	612
persecuted	6	4
christians	15	44
vengeance	51	11
point	830	1137
henchmen	10	13
murmurs	1	0
simply	508	651
protecting	14	9
right	1023	1055
simon	130	41
pegg	37	0
rude	22	26
crude	50	70
often	571	407
control	147	148
celebrity	37	27
journalist	43	36
brought	274	165
work	1448	1244
american	767	632
magazine	53	42
winning	162	62
ways	311	192
create	197	183
sorts	63	54
complications	16	8
comedy	1045	847
co	185	184
stars	531	482
kristen	6	5
dunst	22	8
grown	80	67
danny	152	57
huston	16	32
jeff	143	56
bridges	22	18
works	504	253
primarily	36	27
despite	415	375
behavior	76	76
completely	423	732
continues	101	60
frequent	32	28
screw	11	30
end	1610	1781
cap	15	22
evening	95	54
sitting	91	166
couch	12	25
adaptation	140	130
witty	103	51
cynical	52	36
depressed	29	35
middle	274	312
aged	82	66
software	3	13
engineer	17	7
something	1308	1785
relying	19	11
heavily	63	51
person	455	533
narration	69	49
worse	129	765
downbeat	15	11
petit	1	0
bourgeois	9	3
philosophical	35	33
blackly	3	0
humorous	97	61
describe	82	120
intellectual	57	57
charles	140	91
bukowski	1	2
disrespect	7	12
cb	9	0
intended	103	136
mordantly	1	0
funny	1145	1380
bleak	52	20
analysis	28	27
relations	37	19
achievement	59	20
reflects	30	6
real	1574	1318
recognisable	8	3
ask	160	223
aren	219	331
rare	204	56
examples	50	63
equally	161	98
eva	50	44
hedy	21	3
lamarr	21	5
married	219	145
older	214	165
man	2069	1576
honeymoon	10	12
realizes	84	38
husband	349	285
desire	114	73
disappointment	43	197
privation	3	1
returning	37	40
father	841	414
home	631	522
farm	35	39
leaving	153	159
afternoon	61	49
bathing	13	10
lake	60	114
horse	101	84
escapes	42	53
worker	48	40
retrieves	2	0
gives	601	313
fall	227	233
lovers	110	61
misses	26	37
tries	289	475
fortune	51	36
ending	731	725
affair	118	97
tragic	151	59
extase	2	0
remark	17	13
relative	45	37
horrible	97	659
vhs	115	48
brazil	49	22
brazilian	20	13
distributor	13	7
network	53	55
seems	929	1199
reels	12	7
parts	400	332
damaged	20	22
therefore	97	103
images	200	98
achieved	61	26
viewer	424	336
chance	379	275
rental	37	81
sale	18	20
practically	55	87
silent	154	99
lines	372	551
consequently	13	18
characters	2175	2162
badly	58	340
developed	133	106
daring	46	21
exposure	27	22
beautiful	965	370
fat	54	100
present	239	152
fantastic	400	90
poetic	43	17
metaphoric	2	1
flowers	20	15
symbolizing	2	1
intercourse	3	11
lover	126	111
conducts	2	4
show	2029	1751
non	217	327
conclusive	3	0
unusual	134	46
day	1000	678
restored	42	20
vote	66	62
eight	70	60
xtase	1	0
ecstasy	23	7
turn	386	424
graduate	16	11
mother	540	362
job	885	489
explaining	26	35
desires	38	17
woman	886	813
glad	150	105
done	943	955
ruined	29	98
taking	279	300
develop	79	74
revealed	85	68
slowly	152	89
realistically	19	16
acting	1458	2459
believably	15	4
dialogue	342	569
sensitive	83	27
tried	165	296
happen	299	363
wrong	404	699
intrigued	36	35
highly	518	169
confess	21	36
forever	139	100
mom	108	107
light	370	225
accident	103	78
kenneth	45	36
branagh	78	60
stealing	51	42
helena	14	10
bonham	10	10
carter	54	36
chemistry	171	114
enjoyable	339	152
emma	71	23
thompson	27	30
disabled	24	11
seeking	63	34
female	246	340
long	978	1080
portraying	103	38
pull	102	102
basically	197	311
pain	112	116
believable	279	151
current	83	74
wave	78	33
uglying	1	0
roles	403	260
charlize	6	4
theron	12	5
halle	4	1
berry	10	3
fell	89	117
consideration	12	16
run	326	402
across	296	298
cable	87	80
late	427	287
night	639	668
trust	110	97
sleep	75	135
sight	92	108
particular	277	162
bette	69	13
davis	143	47
votes	19	18
imdb	154	269
rating	262	337
turned	258	288
delightful	142	20
expect	352	350
normal	157	122
average	190	244
formulaic	22	40
surprisingly	192	89
constructed	30	26
helps	159	57
pleasant	80	53
carried	53	43
main	611	747
brent	23	2
helped	117	79
mostly	292	299
mainly	121	114
involves	54	66
around	1001	1219
involved	306	317
clever	195	125
perfectly	290	84
short	559	523
hour	236	475
means	223	223
needless	47	56
development	143	236
fast	276	303
paced	130	60
watchable	64	132
todays	17	9
perhaps	490	499
simple	394	195
expense	10	19
romantic	365	160
deserves	197	172
antonio	24	16
margheriti	3	1
danza	13	2
macabra	4	1
castle	142	61
eerie	59	24
chiller	11	6
fronts	6	11
absolutely	378	521
wonderfully	161	25
creepy	205	184
gothic	48	28
vibe	20	8
alan	150	86
foster	56	53
english	321	251
pursues	11	8
interview	47	62
visiting	28	20
horror	849	1304
writer	310	376
edgar	36	21
allan	10	9
poe	18	24
bets	4	3
spend	129	184
abandoned	53	63
mansion	48	63
friend	517	354
thomas	87	62
blackwood	8	3
accepting	26	16
wager	5	3
locked	49	55
begins	305	189
scared	83	89
hell	219	396
crypt	15	10
tension	189	160
unbearable	17	60
barbara	110	28
steele	35	7
sinister	56	44
specter	3	1
elisabeth	7	9
loved	677	211
episode	613	372
quick	96	120
secretary	53	37
getting	428	555
punished	11	9
effectively	73	41
accomplice	6	8
columbo	64	50
unpredictable	37	14
resolution	35	46
conclusion	141	164
along	608	469
uncovering	7	2
murderer	54	51
interplay	22	7
falk	47	28
ruth	63	18
gordon	99	58
priceless	35	22
playing	522	462
flattered	1	0
lt	11	13
tongue	55	36
cheek	39	24
allusion	4	2
detective	160	98
fame	81	50
crime	324	162
solver	2	0
installments	7	3
screenwriters	17	26
conference	11	7
sue	22	34
smith	207	75
summarised	2	0
explanation	42	131
themes	191	70
abundantly	2	2
inspiring	62	21
deals	115	45
ability	137	151
dare	41	40
passed	74	72
parental	5	2
figures	76	47
overcome	68	36
embrace	23	10
possibilities	32	38
treasured	13	0
savoured	2	1
hyped	20	32
somersault	5	1
mandy	26	13
unkind	5	0
hugo	21	6
weaving	11	4
bloke	5	17
vintage	26	9
australian	85	41
lacklustre	2	7
recently	223	125
peaches	5	0
goods	20	9
okay	127	303
sorry	119	344
genre	479	298
anymore	101	92
rip	61	128
cheesy	133	237
imitation	18	35
imitating	11	13
popular	208	136
group	300	341
everyones	4	1
lives	555	301
living	374	270
decided	160	265
pick	137	135
nerdy	13	10
boy	508	423
named	233	214
marty	36	20
turns	407	351
fatal	38	44
pranks	10	17
friends	621	486
reunion	48	27
letters	19	43
ones	306	259
receiving	20	28
return	210	161
old	1386	1333
knocked	23	31
yeah	81	200
happens	276	375
disappointed	204	328
left	604	726
critical	62	48
cupidgrl	1	0
stephane	4	0
rideau	8	0
already	378	445
tour	63	39
de	294	171
force	170	146
reeds	3	1
france	99	45
biggest	134	170
indie	70	47
cedric	36	1
meets	273	124
vacationing	4	1
mathieu	60	0
newcomer	16	18
jamie	42	30
elkaim	5	1
stunning	202	47
nuanced	25	8
ethereal	9	1
beach	63	61
demanding	25	14
aunt	82	30
soon	410	311
fractured	6	4
comprised	9	8
lengthy	35	25
flash	37	67
backs	19	25
bits	83	114
pieces	144	128
forward	167	233
movement	76	47
daunting	4	2
sebastien	3	0
lifshitz	9	0
signal	4	13
period	264	184
difficult	238	196
follow	240	208
stick	96	202
final	424	373
engrossing	29	7
able	459	342
heart	586	236
breaking	85	48
uplifting	38	12
ranks	31	32
though	1469	1257
misfortune	14	23
hit	366	308
festival	137	103
circuit	8	8
austin	42	19
sxsw	4	3
tired	90	121
shakespeare	128	80
elizabeth	71	40
audience	617	728
inside	200	170
staging	14	11
scottish	36	26
macbeth	18	9
producing	33	38
avoid	85	375
curse	35	50
crisp	27	14
efficient	15	9
stylish	65	34
treatment	77	68
treachery	5	2
befalls	1	2
troupe	9	6
evocative	7	6
score	387	254
sounding	22	36
budget	388	717
suggest	106	120
gem	173	40
world	1461	901
class	319	237
satisfying	94	35
laughed	101	124
bogdanovich	10	8
recognition	42	14
reasons	182	183
sets	268	234
tone	173	125
appealing	80	60
gazzara	15	2
john	794	539
ritter	68	17
audrey	22	24
hepburn	16	36
breezy	12	5
vein	23	25
screwball	23	9
thirties	25	15
essentially	76	86
odyssey	30	4
agency	32	18
fellow	148	83
detectives	19	22
pot	37	28
smoking	32	50
roller	28	20
skating	1	6
eccentric	40	22
blaine	20	0
novak	52	5
producer	121	132
falls	205	255
rich	214	159
tycoon	9	6
magnate	4	0
wife	720	582
dorothy	58	30
stratten	5	11
sadly	114	243
murdered	63	86
infamously	3	1
production	467	603
essential	70	28
viewing	300	183
series	1229	782
television	329	223
excellence	22	6
takes	743	579
beautifully	232	44
filmed	236	230
noir	215	42
shadows	39	26
stark	41	11
spoil	70	51
presentation	53	44
homosexuals	5	2
faced	71	51
pettit	1	0
directed	373	367
jeannot	1	1
szwarc	1	1
move	212	225
tragedy	151	65
issue	80	86
torn	62	37
edge	195	87
chills	31	17
ran	59	62
spine	24	10
bob	79	71
dylan	28	19
gorgeous	154	60
ah	21	51
younger	189	112
sung	38	18
byrds	1	0
chinese	122	82
hong	86	31
kong	91	64
infamous	51	41
cat	133	179
disappeared	31	28
knew	282	262
purchased	31	21
cambodian	7	5
judge	107	78
lawyer	78	43
arrangements	14	6
divorcing	1	1
threatening	38	42
money	445	985
known	355	274
within	270	221
given	527	604
cops	86	109
locate	16	8
arrest	18	17
police	347	311
officers	39	27
civilians	5	15
killed	264	399
eludes	3	2
race	130	108
catch	161	111
cambodia	12	7
stops	53	55
hardly	140	233
breath	63	45
violent	185	143
proves	124	96
track	112	128
hide	54	64
dump	10	22
finds	346	194
raped	28	50
mistreated	7	4
saves	32	50
persuades	10	2
escape	197	122
coaster	28	18
keeps	220	158
incident	35	37
exceptionally	29	26
photography	150	97
breathtaking	92	17
incredible	273	102
unbelievable	66	200
fitting	47	32
brutal	118	70
nonsense	52	136
socks	8	4
dog	210	212
eat	57	100
widespread	3	2
release	279	207
including	392	258
r	138	136
recommended	234	58
anthology	24	11
stories	404	301
occasionally	80	71
laughs	179	218
isn	787	1142
sometimes	460	280
stuffy	9	6
overly	66	87
four	284	263
unifying	3	1
connects	15	3
house	675	672
involve	37	31
rent	148	291
investigate	30	42
happened	292	356
tenants	12	6
segment	110	50
starred	58	44
denholm	13	1
elliott	29	6
block	35	44
scenery	125	120
immediately	143	139
vanishes	10	12
steadily	10	3
tale	301	160
serial	128	104
killer	316	556
amazingly	56	60
fictional	64	46
psychotic	34	37
appears	232	251
disappears	22	22
seem	618	691
losing	79	49
might	790	1005
second	578	569
weakest	29	27
cushing	26	5
bachelor	15	21
pining	6	1
died	182	136
ago	355	251
picture	482	412
chamber	12	16
horrors	41	25
wax	30	10
museum	44	19
sees	218	114
figure	221	236
reminds	128	68
fascinated	27	20
joss	14	0
ackland	13	0
visits	36	14
entranced	13	2
frankly	64	104
letdown	12	15
christopher	138	99
lee	240	268
harsh	66	40
stern	25	13
pathetic	39	241
seemed	291	496
idiot	26	77
demeanor	16	7
ended	141	195
fourth	59	37
silliest	2	6
meant	167	213
parody	63	85
jon	73	33
pertwee	18	4
third	204	229
doctor	186	190
temperamental	5	1
actor	709	708
portrayals	31	11
dracula	15	54
according	95	94
fit	159	152
pique	2	1
stomps	4	2
props	20	43
vampire	66	170
natural	200	89
vampires	23	126
bazillion	1	1
said	553	759
recent	198	127
incarnations	7	7
crap	82	548
compared	156	145
bela	35	23
lugosi	76	41
silly	190	353
possibly	172	265
considering	147	197
writing	305	474
teenager	66	67
metal	55	52
ruled	20	11
trick	54	53
treat	149	58
