frecuencia neg,frecuencia pos,palabra
16,6,slaughtered
10,3,mommy
42,22,daddy
34,79,friendly
2,4,smuggler
328,356,took
16,9,custody
1058,1136,however
48,59,raised
18,38,trained
45,59,expert
1,1,smugglers
2518,1453,plot
8,18,lifts
1075,1590,years
15,35,facing
55,105,ultimate
51,66,quest
12,14,mythical
233,141,incredibly
31,27,valuable
455,467,white
198,181,fire
36,37,diamond
11,5,coincidentally
67,95,mine
1461,2548,life
1825,2006,little
800,606,sense
119,152,narrative
60,61,structure
874,737,sure
1137,1246,lot
578,1010,fun
2111,2085,watch
3745,3877,time
103,37,clue
46,44,beating
170,149,cause
81,59,bet
1479,1242,actors
42,62,understood
621,554,less
293,146,whatever
356,335,violence
2,16,magnificently
22,23,grotesque
327,230,single
182,144,twist
0,5,pleasingly
83,22,retarded
1249,586,script
438,334,totally
3,8,bonkers
7,10,repair
188,134,suddenly
483,549,won
39,79,reveal
962,478,reason
237,271,needs
16,15,replacement
88,82,fred
9,4,williamson
34,50,enters
1025,1117,big
11,2,cigar
134,66,mouth
52,54,sleazy
643,627,black
32,15,fingers
254,271,local
14,14,prostitutes
21,40,principal
8,16,opponent
141,204,italian
96,34,chick
52,30,breasts
51,11,hideous
181,118,accent
42,13,preposterous
23,24,catchy
209,287,theme
248,368,song
501,802,plays
1216,638,least
81,42,dozen
863,1089,times
337,456,throughout
28,16,obligatory
112,118,falling
1278,2521,love
28,34,montage
28,35,loads
7,4,attractions
445,267,god
180,549,brilliant
250,383,experience
1263,792,original
172,323,french
473,396,title
5,5,translates
74,80,survive
4,15,uniquely
46,83,appropriate
1080,1401,makes
3043,2733,much
620,457,rest
440,203,none
30,12,dont
1186,1004,got
1294,940,pretty
4455,4616,good
929,1109,action
253,345,change
98,99,location
66,169,harry
127,107,hurt
106,25,offensive
26,50,eastwood
186,280,form
78,112,dirty
371,569,liked
46,38,pat
0,6,hingle
417,608,small
334,423,town
223,143,cop
1981,1432,better
36,45,pool
491,596,full
63,88,references
163,142,mad
56,76,max
137,95,ii
106,161,wild
1813,2279,many
1,4,ladybug
503,504,face
235,249,clear
54,50,reference
37,54,tribute
191,272,peter
5,13,lorre
107,266,masterpiece
945,804,ll
286,230,talk
205,377,future
643,894,although
167,135,generally
36,11,remakes
45,40,believing
830,62,waste
134,102,exception
1630,1022,didn
1509,1043,actually
1023,819,far
216,183,reading
189,201,previous
204,187,comment
255,116,remake
249,303,opinion
61,48,purely
86,68,comparison
3084,3950,story
2444,2463,way
461,445,written
207,207,question
2,44,capote
276,258,words
619,788,play
81,88,anthony
5,16,edwards
58,93,eric
49,41,roberts
58,351,superb
1969,2091,seen
2439,2130,movies
500,435,case
704,1288,always
34,39,wondered
249,351,number
186,281,famous
575,656,star
249,396,brother
4,7,certainty
297,249,clearly
477,634,top
17,20,profession
397,616,recommend
1910,2313,films
472,486,keep
633,768,dvd
14,12,shelves
39,30,harvey
51,67,lights
7,21,candle
3,5,anchored
560,1174,performance
1,8,spall
20,21,predict
11,16,titular
6,6,morose
30,84,tight
101,90,teacher
498,361,sort
180,166,break
3,5,catharsis
389,459,based
137,239,deep
167,198,secret
292,471,past
55,181,emotions
2,1,unveiled
54,134,surprising
63,85,range
71,176,feelings
15,22,conveyed
970,1283,quite
162,363,moving
1063,907,gets
68,90,portray
101,72,mike
31,19,leigh
0,3,repertory
239,193,expected
524,493,school
52,56,bus
133,164,trip
566,533,used
234,308,comic
29,27,purposes
13,17,simpsons
109,157,central
173,239,situation
59,94,visit
0,3,salisbury
4,6,cathedral
0,1,rhidian
4,4,brook
29,35,contained
11,10,structured
160,246,dramatic
962,929,almost
0,2,formally
11,22,divided
140,113,acts
100,98,introduced
29,89,urban
214,308,british
4,3,racially
2,6,religiously
8,25,diverse
14,9,uniforms
601,288,couldn
597,466,tell
73,94,private
176,170,public
22,30,gather
4,2,rapping
106,186,south
2,4,asians
25,10,muslims
9,12,bullies
686,331,mean
380,339,girls
93,77,naturally
5,6,individually
753,1437,young
21,51,recognized
876,863,tv
26,8,shameless
1,13,exuberant
11,11,representing
256,329,usual
34,29,junior
637,658,high
131,207,social
2,15,pressures
6,1,celia
0,1,imrie
94,145,puts
12,35,warmth
4,4,supervisor
773,1154,role
0,1,martinets
192,259,leads
0,4,transformative
36,59,crisis
61,71,remain
8,9,amusingly
15,11,oblivious
147,206,portrayed
172,217,ben
71,92,miles
1,5,coupling
11,5,spoon
28,19,fed
3,3,didactic
76,86,lesson
96,87,religious
16,13,tolerance
81,91,faith
45,75,bbc
122,149,showed
54,121,england
7,4,easter
189,266,america
115,187,u
208,160,christmas
2,3,nathalie
101,154,summer
108,154,key
26,51,redemption
2818,1921,could
613,941,played
141,143,week
15,10,preaching
52,216,touching
76,83,reach
38,106,unexpected
560,254,unfortunately
904,999,saw
59,171,intense
8,18,interrupted
50,32,commercials
150,142,heavy
70,38,handed
1,2,pointedly
65,45,calling
122,137,road
0,12,pilgrimage
53,116,quiet
1276,2600,best
0,6,evocation
521,665,men
46,39,holiday
15,14,themed
181,271,among
104,147,indian
23,21,fade
10,19,passage
37,39,spell
1,4,binding
156,118,appeal
1,11,diminish
12,13,transforms
6,7,abyss
7,7,artificially
6,7,styled
85,105,pop
127,177,culture
14,6,drill
13,27,oriented
73,61,extras
1097,1048,take
0,5,enhancing
125,103,p
228,346,songs
246,374,cinematography
61,55,speaks
259,1012,excellent
77,94,skills
1,3,josef
0,1,werching
3,4,accentuate
6,18,monumental
26,41,scope
183,199,effect
21,14,entirety
230,228,gone
355,432,days
2,3,clipped
2,3,retakes
286,308,taken
0,2,finalizing
2,8,meticulous
158,50,paid
0,6,crafting
273,180,editing
1700,1457,scenes
16,82,poignant
141,182,filled
8,27,sublime
122,276,emotional
34,69,intensity
100,82,instance
1,13,meena
1,13,kumari
30,70,refuses
496,436,yes
4,11,approval
0,1,nikah
74,148,marriage
44,150,bond
7,15,climbs
88,65,hill
344,256,running
7,10,berserk
14,14,traumatized
11,15,frenzy
23,30,raj
21,25,kumar
120,175,follows
207,479,strong
12,2,gale
62,83,wind
24,36,blew
5,6,veil
109,88,onto
45,44,legs
12,9,kamal
1,8,amrohi
32,42,shall
55,105,remembered
44,114,golden
3,5,annals
314,489,history
0,1,endeavoring
404,245,complete
64,89,record
165,203,setting
102,69,manage
21,22,vital
1008,974,without
76,91,ups
237,274,lady
411,396,lead
5,4,terminally
107,78,ill
179,196,fighting
384,582,early
601,951,especially
500,499,understand
80,92,loss
832,958,feel
8,39,loneliness
0,1,cheadles
63,70,johnson
6,18,reflected
269,120,total
75,93,opposite
0,1,sandlers
0,26,fineman
492,422,felt
56,49,trapped
2,3,blessings
916,583,trying
213,220,forget
58,105,perspective
1,11,jada
180,830,wonderful
0,1,additive
1026,1261,cast
28,71,sandler
36,77,pulls
60,142,tears
0,41,cheadle
6,10,supporter
33,63,oscars
209,115,somewhere
300,497,fine
466,519,lost
19,14,assure
94,91,jerry
8,19,soylent
105,124,green
143,152,disturbing
162,169,science
109,165,fiction
1332,1964,still
2,8,persuasive
183,576,today
107,103,standards
36,63,flawed
57,105,dated
14,18,apocalyptic
113,180,touch
5,6,environmental
283,138,premise
193,272,typical
16,34,unsettling
29,79,provoking
444,346,quality
4,14,surpasses
71,74,majority
43,87,contemporary
14,19,sf
132,72,flicks
124,159,personally
151,150,consider
1124,1413,new
180,302,york
83,66,depressing
701,779,place
140,137,alive
45,39,population
3,7,unemployment
7,4,unhealthy
6,20,climate
1,2,scarcity
98,101,food
73,52,product
74,151,available
3,4,synthetic
14,12,distributed
155,173,company
14,20,charlton
34,40,heston
42,59,shape
23,18,investigating
263,376,murder
0,5,eminent
20,15,executives
20,14,stumbles
242,272,upon
2,3,scandals
357,502,dark
26,47,secrets
28,61,sentimental
139,129,climax
978,939,come
178,239,surprise
141,300,atmosphere
19,69,tense
11,20,uncanny
22,32,riot
4,5,grueling
256,278,easily
11,29,macabre
439,542,moments
53,74,edward
16,34,robinson
141,164,ultimately
831,895,last
18,24,modest
13,15,supportive
49,87,joseph
12,4,cotton
21,13,baron
419,283,blood
12,4,abominable
212,217,dr
1,3,phibes
9,17,nightmarish
32,41,inevitable
65,99,humanity
33,36,fancy
247,217,space
22,30,ships
17,5,hairy
112,55,monsters
25,12,attacking
0,1,stearns
45,41,sexually
33,37,frustrated
55,96,individual
1002,889,interesting
104,132,moral
57,96,attitude
34,68,sexuality
559,303,problem
5,5,ogling
35,37,dancers
582,539,women
556,465,start
657,362,sex
68,83,loses
59,88,believes
72,145,lose
27,75,innocence
90,303,beauty
2,2,strolls
74,38,hills
18,12,stalking
3,6,lovemaking
26,19,couples
40,33,distance
155,116,shooting
14,12,powered
11,45,rifle
17,19,seeming
31,41,primary
76,86,existence
13,10,indulge
234,252,sexual
27,15,activity
13,5,afterthought
41,62,bound
40,38,happily
6,8,heterosexual
231,185,male
17,53,pleased
103,71,treated
1188,852,enough
7,4,protracted
77,107,ladies
40,13,awfully
8,12,sans
124,84,clothes
51,46,serve
323,259,major
21,28,dose
8,2,titillation
576,670,seeing
161,117,fair
201,250,deal
14,11,creepiness
66,60,factor
17,24,considerably
6,17,illustrates
2,6,compulsion
6,8,voyeurism
1715,976,thing
362,366,eyes
34,34,pulling
17,16,trigger
0,5,underscored
12,5,intrusive
38,53,atmospheric
191,282,soundtrack
9,10,penchant
221,75,trash
402,692,enjoy
67,63,degree
88,123,includes
99,39,lesbian
2,5,tryst
0,1,confounds
5,13,renders
9,14,uncertain
31,33,react
17,52,unfolds
383,290,slow
139,199,pace
5,8,wraps
154,140,amusing
41,59,ironic
15,10,kinky
45,71,twisted
4,16,rarity
1823,800,nothing
746,512,else
343,630,definitely
195,268,viewers
16,23,glued
725,768,screen
224,355,happy
1646,1427,go
68,97,luck
176,122,military
0,4,swashbuckler
820,780,rather
51,26,loosely
0,4,rudyard
0,7,kipling
122,268,memorable
12,36,poem
692,737,three
10,18,qualifies
2626,2766,first
240,292,entertainment
3,10,imperial
146,123,army
44,68,india
18,34,cary
62,89,grant
75,143,delivers
44,51,knock
43,26,blows
1,1,knuckled
9,10,fists
602,762,together
732,769,set
2,4,faraway
114,130,six
14,2,fisted
9,20,yarn
8,5,dwells
12,26,exploits
4,18,rugged
2,11,sergeants
71,64,native
162,164,water
1,11,bearer
0,37,gunga
0,47,din
155,133,sam
1,14,jaffe
8,13,contend
19,4,bloodthirsty
150,127,cult
28,43,murderous
34,31,indians
481,389,called
0,3,thuggee
17,28,sergeant
1,14,archibald
10,21,cutter
1,1,outpost
0,6,macchesney
155,354,oscar
45,101,winner
63,93,victor
3,33,mclaglen
2,5,informer
0,6,ballantine
75,121,douglas
2,23,fairbanks
69,127,jr
30,43,dawn
4,6,patrol
7,14,competitive
27,36,trio
858,796,hard
62,47,drinking
3,2,brawling
43,147,loving
10,7,alpha
23,14,males
257,372,whose
2,6,frolic
394,564,become
49,79,marry
8,19,emmy
0,2,stebbins
76,119,joan
11,35,fontaine
52,63,enter
35,42,tea
167,214,business
5,16,drum
6,8,assorted
8,9,schemes
3,5,derail
0,4,ballentine
3,18,superiors
287,295,order
1479,1497,back
14,20,sgt
2,2,bertie
0,2,higginbotham
198,328,robert
0,3,coote
5,1,sheik
48,54,steps
373,314,cannot
5,17,accompany
25,20,replace
782,418,half
16,23,principals
2,3,outwit
23,14,hating
241,302,george
29,27,stevens
1,9,celebrates
132,179,spirit
101,214,adventure
64,116,grand
411,508,style
79,113,heroes
0,5,tangle
0,3,thuggees
0,1,lenser
11,27,august
62,89,received
21,38,nomination
48,197,outstanding
890,645,looking
4,8,quo
1,4,vadis
650,389,video
189,137,store
418,183,looked
165,109,wow
166,620,amazing
25,53,ken
53,71,russell
913,767,kind
35,72,quirky
11,26,stylized
98,108,artistic
2,3,nero
117,143,presented
461,390,evil
0,4,incarnate
33,21,wacky
5,4,unfulfilled
25,18,emperor
15,26,circus
288,343,career
886,878,probably
287,248,earth
45,74,position
163,209,leading
26,37,empire
876,481,wasn
3,8,longed
0,1,klause
35,92,maria
0,1,bandaur
13,73,tremendous
612,710,worth
4,6,persecuted
44,15,christians
11,51,vengeance
1137,830,point
13,10,henchmen
0,1,murmurs
651,508,simply
9,14,protecting
1055,1023,right
41,130,simon
0,37,pegg
26,22,rude
70,50,crude
407,571,often
148,147,control
27,37,celebrity
36,43,journalist
165,274,brought
1244,1448,work
632,767,american
42,53,magazine
62,162,winning
192,311,ways
183,197,create
54,63,sorts
8,16,complications
847,1045,comedy
184,185,co
482,531,stars
5,6,kristen
8,22,dunst
67,80,grown
57,152,danny
32,16,huston
56,143,jeff
18,22,bridges
253,504,works
27,36,primarily
375,415,despite
76,76,behavior
732,423,completely
60,101,continues
28,32,frequent
30,11,screw
1781,1610,end
22,15,cap
54,95,evening
166,91,sitting
25,12,couch
130,140,adaptation
51,103,witty
36,52,cynical
35,29,depressed
312,274,middle
66,82,aged
13,3,software
7,17,engineer
1785,1308,something
11,19,relying
51,63,heavily
533,455,person
49,69,narration
765,129,worse
11,15,downbeat
0,1,petit
3,9,bourgeois
33,35,philosophical
0,3,blackly
61,97,humorous
120,82,describe
57,57,intellectual
91,140,charles
2,1,bukowski
12,7,disrespect
0,9,cb
136,103,intended
0,1,mordantly
1380,1145,funny
20,52,bleak
27,28,analysis
19,37,relations
20,59,achievement
6,30,reflects
1318,1574,real
3,8,recognisable
223,160,ask
331,219,aren
56,204,rare
63,50,examples
98,161,equally
44,50,eva
3,21,hedy
5,21,lamarr
145,219,married
165,214,older
1576,2069,man
12,10,honeymoon
38,84,realizes
285,349,husband
73,114,desire
197,43,disappointment
1,3,privation
40,37,returning
414,841,father
522,631,home
39,35,farm
159,153,leaving
49,61,afternoon
10,13,bathing
114,60,lake
84,101,horse
53,42,escapes
40,48,worker
0,2,retrieves
313,601,gives
233,227,fall
61,110,lovers
37,26,misses
475,289,tries
36,51,fortune
725,731,ending
97,118,affair
59,151,tragic
0,2,extase
13,17,remark
37,45,relative
659,97,horrible
48,115,vhs
22,49,brazil
13,20,brazilian
7,13,distributor
55,53,network
1199,929,seems
7,12,reels
332,400,parts
22,20,damaged
103,97,therefore
98,200,images
26,61,achieved
336,424,viewer
275,379,chance
81,37,rental
20,18,sale
87,55,practically
99,154,silent
551,372,lines
18,13,consequently
2162,2175,characters
340,58,badly
106,133,developed
21,46,daring
22,27,exposure
370,965,beautiful
100,54,fat
152,239,present
90,400,fantastic
17,43,poetic
1,2,metaphoric
15,20,flowers
1,2,symbolizing
11,3,intercourse
111,126,lover
4,2,conducts
1751,2029,show
327,217,non
0,3,conclusive
46,134,unusual
678,1000,day
20,42,restored
62,66,vote
60,70,eight
0,1,xtase
7,23,ecstasy
424,386,turn
11,16,graduate
362,540,mother
489,885,job
35,26,explaining
17,38,desires
813,886,woman
105,150,glad
955,943,done
98,29,ruined
300,279,taking
74,79,develop
68,85,revealed
89,152,slowly
16,19,realistically
2459,1458,acting
4,15,believably
569,342,dialogue
27,83,sensitive
296,165,tried
363,299,happen
699,404,wrong
35,36,intrigued
169,518,highly
36,21,confess
100,139,forever
107,108,mom
225,370,light
78,103,accident
36,45,kenneth
60,78,branagh
42,51,stealing
10,14,helena
10,10,bonham
36,54,carter
114,171,chemistry
152,339,enjoyable
23,71,emma
30,27,thompson
11,24,disabled
34,63,seeking
340,246,female
1080,978,long
38,103,portraying
102,102,pull
311,197,basically
116,112,pain
151,279,believable
74,83,current
33,78,wave
0,1,uglying
260,403,roles
4,6,charlize
5,12,theron
1,4,halle
3,10,berry
117,89,fell
16,12,consideration
402,326,run
298,296,across
80,87,cable
287,427,late
668,639,night
97,110,trust
135,75,sleep
108,92,sight
162,277,particular
13,69,bette
47,143,davis
18,19,votes
269,154,imdb
337,262,rating
288,258,turned
20,142,delightful
350,352,expect
122,157,normal
244,190,average
40,22,formulaic
89,192,surprisingly
26,30,constructed
57,159,helps
53,80,pleasant
43,53,carried
747,611,main
2,23,brent
79,117,helped
299,292,mostly
114,121,mainly
66,54,involves
1219,1001,around
317,306,involved
125,195,clever
84,290,perfectly
523,559,short
475,236,hour
223,223,means
56,47,needless
236,143,development
303,276,fast
60,130,paced
132,64,watchable
9,17,todays
499,490,perhaps
195,394,simple
19,10,expense
160,365,romantic
172,197,deserves
16,24,antonio
1,3,margheriti
2,13,danza
1,4,macabra
61,142,castle
24,59,eerie
6,11,chiller
11,6,fronts
521,378,absolutely
25,161,wonderfully
184,205,creepy
28,48,gothic
8,20,vibe
86,150,alan
53,56,foster
251,321,english
8,11,pursues
62,47,interview
20,28,visiting
1304,849,horror
376,310,writer
21,36,edgar
9,10,allan
24,18,poe
3,4,bets
184,129,spend
63,53,abandoned
63,48,mansion
354,517,friend
62,87,thomas
3,8,blackwood
16,26,accepting
3,5,wager
55,49,locked
189,305,begins
89,83,scared
396,219,hell
10,15,crypt
160,189,tension
60,17,unbearable
28,110,barbara
7,35,steele
44,56,sinister
1,3,specter
9,7,elisabeth
211,677,loved
372,613,episode
120,96,quick
37,53,secretary
555,428,getting
9,11,punished
41,73,effectively
8,6,accomplice
50,64,columbo
14,37,unpredictable
46,35,resolution
164,141,conclusion
469,608,along
2,7,uncovering
51,54,murderer
7,22,interplay
28,47,falk
18,63,ruth
58,99,gordon
22,35,priceless
462,522,playing
0,1,flattered
13,11,lt
36,55,tongue
24,39,cheek
2,4,allusion
98,160,detective
50,81,fame
162,324,crime
0,2,solver
3,7,installments
26,17,screenwriters
7,11,conference
34,22,sue
75,207,smith
0,2,summarised
131,42,explanation
70,191,themes
2,2,abundantly
21,62,inspiring
45,115,deals
151,137,ability
40,41,dare
72,74,passed
2,5,parental
47,76,figures
36,68,overcome
10,23,embrace
38,32,possibilities
0,13,treasured
1,2,savoured
32,20,hyped
1,5,somersault
13,26,mandy
0,5,unkind
6,21,hugo
4,11,weaving
17,5,bloke
9,26,vintage
41,85,australian
7,2,lacklustre
125,223,recently
0,5,peaches
9,20,goods
303,127,okay
344,119,sorry
298,479,genre
92,101,anymore
128,61,rip
237,133,cheesy
35,18,imitation
13,11,imitating
136,208,popular
341,300,group
1,4,everyones
301,555,lives
270,374,living
265,160,decided
135,137,pick
10,13,nerdy
423,508,boy
214,233,named
20,36,marty
351,407,turns
44,38,fatal
17,10,pranks
486,621,friends
27,48,reunion
43,19,letters
259,306,ones
28,20,receiving
161,210,return
1333,1386,old
31,23,knocked
200,81,yeah
375,276,happens
328,204,disappointed
726,604,left
48,62,critical
0,1,cupidgrl
0,4,stephane
0,8,rideau
445,378,already
39,63,tour
171,294,de
146,170,force
1,3,reeds
45,99,france
170,134,biggest
47,70,indie
1,36,cedric
124,273,meets
1,4,vacationing
0,60,mathieu
18,16,newcomer
30,42,jamie
1,5,elkaim
47,202,stunning
8,25,nuanced
1,9,ethereal
61,63,beach
14,25,demanding
30,82,aunt
311,410,soon
4,6,fractured
8,9,comprised
25,35,lengthy
67,37,flash
25,19,backs
114,83,bits
128,144,pieces
233,167,forward
47,76,movement
2,4,daunting
0,3,sebastien
0,9,lifshitz
13,4,signal
184,264,period
196,238,difficult
208,240,follow
202,96,stick
373,424,final
7,29,engrossing
342,459,able
236,586,heart
48,85,breaking
12,38,uplifting
32,31,ranks
1257,1469,though
23,14,misfortune
308,366,hit
103,137,festival
8,8,circuit
19,42,austin
3,4,sxsw
121,90,tired
80,128,shakespeare
40,71,elizabeth
728,617,audience
170,200,inside
11,14,staging
26,36,scottish
9,18,macbeth
38,33,producing
375,85,avoid
50,35,curse
14,27,crisp
9,15,efficient
34,65,stylish
68,77,treatment
2,5,treachery
2,1,befalls
6,9,troupe
6,7,evocative
254,387,score
36,22,sounding
717,388,budget
120,106,suggest
40,173,gem
901,1461,world
237,319,class
35,94,satisfying
124,101,laughed
8,10,bogdanovich
14,42,recognition
183,182,reasons
234,268,sets
125,173,tone
60,80,appealing
2,15,gazzara
539,794,john
17,68,ritter
24,22,audrey
36,16,hepburn
5,12,breezy
25,23,vein
9,23,screwball
15,25,thirties
86,76,essentially
4,30,odyssey
18,32,agency
83,148,fellow
22,19,detectives
28,37,pot
50,32,smoking
20,28,roller
6,1,skating
22,40,eccentric
0,20,blaine
5,52,novak
132,121,producer
255,205,falls
159,214,rich
6,9,tycoon
0,4,magnate
582,720,wife
30,58,dorothy
11,5,stratten
243,114,sadly
86,63,murdered
1,3,infamously
603,467,production
28,70,essential
183,300,viewing
782,1229,series
223,329,television
6,22,excellence
579,743,takes
44,232,beautifully
230,236,filmed
42,215,noir
26,39,shadows
11,41,stark
51,70,spoil
44,53,presentation
2,5,homosexuals
51,71,faced
0,1,pettit
367,373,directed
1,1,jeannot
1,1,szwarc
225,212,move
65,151,tragedy
86,80,issue
37,62,torn
87,195,edge
17,31,chills
62,59,ran
10,24,spine
71,79,bob
19,28,dylan
60,154,gorgeous
51,21,ah
112,189,younger
18,38,sung
0,1,byrds
82,122,chinese
31,86,hong
64,91,kong
41,51,infamous
179,133,cat
28,31,disappeared
262,282,knew
21,31,purchased
5,7,cambodian
78,107,judge
43,78,lawyer
6,14,arrangements
1,1,divorcing
42,38,threatening
985,445,money
274,355,known
221,270,within
604,527,given
109,86,cops
8,16,locate
17,18,arrest
311,347,police
27,39,officers
15,5,civilians
399,264,killed
2,3,eludes
108,130,race
111,161,catch
7,12,cambodia
55,53,stops
233,140,hardly
45,63,breath
143,185,violent
96,124,proves
128,112,track
64,54,hide
22,10,dump
194,346,finds
50,28,raped
4,7,mistreated
50,32,saves
2,10,persuades
122,197,escape
18,28,coaster
158,220,keeps
37,35,incident
26,29,exceptionally
97,150,photography
17,92,breathtaking
102,273,incredible
200,66,unbelievable
32,47,fitting
70,118,brutal
136,52,nonsense
4,8,socks
212,210,dog
100,57,eat
2,3,widespread
207,279,release
258,392,including
136,138,r
58,234,recommended
11,24,anthology
301,404,stories
71,80,occasionally
218,179,laughs
1142,787,isn
280,460,sometimes
6,9,stuffy
87,66,overly
263,284,four
1,3,unifying
3,15,connects
672,675,house
31,37,involve
291,148,rent
42,30,investigate
356,292,happened
6,12,tenants
50,110,segment
44,58,starred
1,13,denholm
6,29,elliott
44,35,block
120,125,scenery
139,143,immediately
12,10,vanishes
3,10,steadily
160,301,tale
104,128,serial
556,316,killer
60,56,amazingly
46,64,fictional
37,34,psychotic
251,232,appears
22,22,disappears
691,618,seem
49,79,losing
1005,790,might
569,578,second
27,29,weakest
5,26,cushing
21,15,bachelor
1,6,pining
136,182,died
251,355,ago
412,482,picture
16,12,chamber
25,41,horrors
10,30,wax
19,44,museum
114,218,sees
236,221,figure
68,128,reminds
20,27,fascinated
0,14,joss
0,13,ackland
14,36,visits
2,13,entranced
104,64,frankly
15,12,letdown
99,138,christopher
268,240,lee
40,66,harsh
13,25,stern
241,39,pathetic
496,291,seemed
77,26,idiot
7,16,demeanor
195,141,ended
37,59,fourth
6,2,silliest
213,167,meant
85,63,parody
33,73,jon
4,18,pertwee
229,204,third
190,186,doctor
1,5,temperamental
708,709,actor
11,31,portrayals
54,15,dracula
94,95,according
152,159,fit
1,2,pique
2,4,stomps
43,20,props
170,66,vampire
89,200,natural
126,23,vampires
1,1,bazillion
759,553,said
127,198,recent
7,7,incarnations
548,82,crap
145,156,compared
23,35,bela
41,76,lugosi
353,190,silly
265,172,possibly
197,147,considering
474,305,writing
67,66,teenager
52,55,metal
11,20,ruled
