palabra	frecPos	frecNeg
cruise	30	41
slightest	17	63
resemblance	30	34
looks	545	917
envision	6	2
amateur	21	98
critics	149	109
look	1163	1389
criticize	15	15
rate	191	179
important	350	238
bases	13	5
entertained	67	73
agree	164	170
enjoyed	565	223
faithful	70	41
novel	284	255
easy	313	161
overlook	27	19
perceive	14	7
shortcomings	24	22
manager	62	24
nicholas	32	30
bell	27	41
giving	232	249
welcome	78	54
investors	0	11
robert	325	190
carradine	10	37
primal	7	9
park	105	117
secret	198	166
project	119	205
mutating	0	2
animal	79	112
using	227	275
fossilized	0	1
dna	3	11
jurassik	0	2
scientists	40	54
resurrect	3	8
natures	15	3
fearsome	2	3
predators	8	8
sabretooth	1	18
tiger	38	23
smilodon	0	3
scientific	37	39
ambition	22	20
turns	407	351
deadly	52	57
high	656	635
voltage	3	4
fence	10	12
opened	37	46
creature	70	141
escape	197	122
begins	306	190
savagely	3	9
stalking	12	18
prey	29	21
human	588	351
visitors	4	13
tourists	9	15
youngsters	10	12
enter	63	52
restricted	11	7
area	104	104
security	39	99
center	78	67
attacked	39	62
pack	47	53
large	182	169
pre	120	66
historical	136	110
animals	134	98
deadlier	1	1
bigger	74	93
addition	107	90
agent	114	98
stacy	7	9
haiduk	0	2
mate	31	34
brian	155	71
wimmer	0	2
fight	341	338
hardly	140	233
carnivorous	2	4
smilodons	0	1
sabretooths	0	5
real	1573	1317
star	637	564
stars	535	484
astounding	24	12
terrifyingly	4	5
giant	85	146
group	295	339
run	327	401
afoul	3	7
furthermore	27	34
dangerous	111	68
slow	290	382
stalks	8	16
victims	95	162
delivers	143	75
goods	20	9
blood	282	419
gore	183	416
beheading	5	4
hair	129	172
raising	34	34
chills	31	17
scares	46	73
appear	161	202
mediocre	45	167
special	610	642
effects	524	771
story	3916	3069
provides	157	54
exciting	179	125
stirring	18	6
entertainment	290	236
results	84	75
quite	1283	971
majority	74	71
generator	4	3
totally	334	438
lousy	13	111
middling	3	4
performances	739	336
players	107	60
reacting	7	6
appropriately	30	17
food	101	98
actors	1247	1483
vigorously	2	1
physical	110	69
dodging	5	5
beasts	5	7
running	255	344
bound	62	41
leaps	12	11
dangling	2	8
walls	41	40
packs	24	11
ridiculous	111	455
final	422	372
small	605	416
kids	527	622
realistic	315	153
gory	65	89
violent	185	143
attack	92	159
scenes	1466	1713
films	2631	2186
following	186	169
sabretoothby	0	1
james	392	230
r	113	118
hickox	2	3
vanessa	20	31
angel	63	50
david	395	214
keith	28	22
john	770	524
rhys	13	8
davies	55	9
better	1430	1983
bc	10	16
roland	11	9
emmerich	0	2
steven	55	76
strait	1	5
cliff	31	29
curtis	62	14
camilla	4	5
belle	5	9
motion	113	133
picture	479	409
filled	182	140
bloody	75	108
moments	545	441
badly	58	341
directed	372	365
george	295	232
miller	44	30
originality	33	77
takes	743	579
elements	235	213
previous	201	189
australian	85	40
television	327	220
tidal	2	2
wave	77	33
journey	187	66
earth	239	281
occasionally	80	71
man	1949	1472
snowy	19	6
river	107	54
zeus	1	4
roxanne	1	2
robinson	31	15
crusoe	1	2
rating	257	337
average	190	244
barrel	6	32
assumed	22	25
praised	21	28
greatest	316	117
filmed	237	230
opera	133	99
didnt	1027	1649
read	533	654
care	363	495
wagner	17	20
desire	114	73
cultured	3	2
representation	24	15
wagners	4	9
swan	3	3
song	363	246
strikes	55	32
unmitigated	1	6
disaster	57	140
leaden	0	10
reading	181	216
score	385	251
matched	37	15
tricksy	0	2
lugubrious	3	2
realisation	2	6
text	47	47
questionable	23	34
ideas	167	204
matter	365	315
play	777	618
especially	946	596
shakespeare	92	66
allowed	91	102
near	242	255
theatre	71	127
studio	179	121
syberberg	4	11
fashionably	0	2
smallest	8	8
justification	12	18
decided	160	265
parsifal	9	17
bisexual	5	4
integration	4	2
title	393	469
stages	35	12
transmutes	0	1
kind	767	913
beatnik	2	1
babe	32	38
continues	101	60
sing	99	61
tenor	7	2
singers	25	19
double	114	118
dose	28	21
armin	2	4
jordan	20	23
conductor	20	5
seen	2092	1969
face	504	502
heard	347	358
voice	363	319
amfortas	1	2
appears	232	251
monstrously	1	2
exposure	27	22
batonzilla	0	1
ate	1	12
monsalvat	0	1
playing	522	462
good	4604	4450
friday	46	74
way	2461	2443
transcendant	0	1
loveliness	0	1
nature	268	157
represented	32	25
scattering	0	2
shopworn	0	2
flaccid	0	6
crocuses	0	1
stuck	94	110
ill	314	455
laid	47	57
turf	5	6
expedient	1	3
baffles	2	5
piece	386	541
imperfections	0	2
thoughts	76	49
splice	0	3
gurnemanz	1	3
mountain	62	51
pasture	1	2
lush	35	13
provided	66	50
julie	58	44
andrews	88	21
sound	332	443
hard	796	857
endure	19	32
voices	65	63
trumpets	1	6
particular	277	162
possessing	5	5
aural	6	3
glare	2	2
adds	132	67
sort	360	498
fatigue	3	3
impatience	1	2
uninspired	10	65
conducting	2	4
paralytic	0	1
unfolding	20	11
ritual	12	17
review	177	310
mentioned	175	174
bayreuth	2	1
recording	24	27
knappertsbusch	0	2
tempi	0	1
altogether	35	32
lacks	50	160
sense	606	800
pulse	9	10
ebb	1	2
flow	45	41
half	416	777
century	185	122
orchestral	13	7
set	765	729
modern	332	209
pressings	0	1
superior	117	68
superbly	62	6
trashy	22	42
wondrously	2	0
unpretentious	14	1
s	1546	1398
exploitation	59	89
hooray	6	7
credits	162	253
opening	291	309
sequences	249	196
somewhat	315	253
false	54	63
impression	122	133
dealing	118	56
harrowing	21	11
drama	506	310
need	514	594
fear	177	165
barely	86	197
later	797	536
necks	7	8
nonsensical	10	32
chainsaw	15	31
battles	50	35
rough	78	39
fist	13	26
fights	86	95
lurid	13	5
dialogs	36	52
gratuitous	50	109
nudity	119	261
bo	17	56
ingrid	22	13
orphaned	4	0
siblings	23	12
unusually	25	3
close	388	374
slightly	184	147
perverted	13	15
relationship	381	182
imagine	199	246
playfully	6	1
ripping	10	32
towel	5	14
covers	60	26
sisters	94	46
naked	97	163
body	255	356
stare	15	24
unshaven	1	1
genitals	3	15
sister	266	193
judging	23	36
dubbed	49	88
laughter	69	85
doesnt	1201	1629
sick	129	185
dude	25	80
fled	10	4
russia	23	23
parents	269	191
nasty	105	121
soldiers	119	145
brutally	25	22
slaughtered	6	16
mommy	2	8
daddy	22	36
friendly	79	34
smuggler	4	2
took	356	328
custody	9	16
raised	59	48
trained	38	18
expert	59	43
smugglers	1	1
plot	1444	2507
lifts	18	8
years	1617	1102
theyre	302	452
facing	35	15
ultimate	105	55
quest	66	51
mythical	14	12
incredibly	143	233
valuable	27	31
white	460	452
diamond	36	35
coincidentally	5	11
life	2521	1449
little	2008	1825
narrative	152	118
structure	61	60
sure	737	875
lot	1240	1135
fun	1010	578
watch	2081	2108
time	3866	3736
clue	37	103
whos	236	207
beating	44	45
cause	149	170
bet	57	81
understood	62	42
violence	331	353
magnificently	16	2
grotesque	23	22
single	230	327
twist	143	182
pleasingly	5	0
retarded	22	83
script	581	1232
bonkers	8	3
repair	10	7
suddenly	134	188
wont	381	416
reveal	79	39
reason	477	958
needs	271	236
replacement	15	16
fred	81	82
williamson	4	8
enters	50	34
big	1116	1024
cigar	2	11
mouth	66	134
sleazy	54	52
black	616	635
fingers	15	32
local	271	253
prostitutes	13	16
bos	2	8
principal	38	21
opponent	16	8
italian	202	139
chick	33	94
breasts	30	52
hideous	11	51
accent	117	180
preposterous	13	42
catchy	23	23
theme	285	207
plays	810	500
dozen	42	82
times	1091	862
theres	759	1188
obligatory	16	28
falling	117	112
love	2499	1262
montage	34	27
loads	35	28
attractions	4	7
god	242	407
brilliant	550	181
experience	383	250
original	792	1257
french	320	170
translates	5	5
itself	465	513
survive	80	74
uniquely	15	4
appropriate	82	46
makes	1402	1081
rest	457	620
got	1003	1187
pretty	940	1292
action	1086	908
change	345	252
location	99	96
harry	158	65
hurt	104	124
offensive	25	106
eastwood	38	19
form	280	186
dirty	112	79
liked	569	371
pat	38	46
hingle	6	0
town	409	322
cop	140	212
pool	45	36
short	556	523
cheesy	132	237
acting	1453	2450
looked	183	417
past	470	293
wasnt	484	882
background	190	181
centers	35	27
evil	390	460
druid	0	3
witch	95	87
linked	20	12
woman	836	766
gets	911	1068
migraines	0	3
drags	23	56
clearly	249	296
explains	51	65
keeps	221	158
plodding	5	27
christopher	133	95
walken	29	28
completely	423	732
senseless	12	50
potential	140	238
tv	851	854
avoid	86	375
video	385	643
friends	637	505
house	667	667
im	1138	1771
glad	150	105
did	1636	2100
waste	62	828
money	441	979
buying	48	50
cover	116	195
capricorn	1	1
clips	39	59
rocket	31	33
blow	64	57
ups	92	75
related	67	59
manned	3	2
flight	48	63
sibrels	0	4
smoking	32	50
gun	119	195
clip	24	21
astronauts	12	18
preparing	25	14
broadcast	43	24
edits	6	22
instead	443	902
letting	39	49
listen	109	102
crew	168	169
curiously	19	17
ends	290	308
showing	258	204
zapruder	0	2
claims	39	75
radiation	6	13
shielding	0	1
photography	149	97
lead	394	408
believe	638	869
ignorant	17	39
ax	2	17
grind	4	12
nasa	1	17
american	758	623
general	220	232
science	164	162
friend	493	330
bought	133	123
grossly	12	16
overpriced	1	3
despite	415	376
featuring	92	74
names	96	143
adam	101	63
sandler	57	26
billy	112	103
bob	77	69
thornton	4	12
burt	57	46
young	1428	743
funny	1143	1374
taking	278	300
chisel	0	1
hammering	4	1
straight	216	266
earhole	0	1
uses	185	144
tired	90	121
comedic	113	69
techniques	49	36
consistently	36	27
breaking	85	48
fourth	59	37
wall	107	110
talks	58	92
audience	602	712
seemingly	101	120
pointless	22	286
montages	11	10
hot	207	206
girls	370	415
waiter	16	5
ship	59	111
successful	192	127
comedian	43	53
order	293	286
women	515	553
ships	38	33
resident	25	33
shamelessly	3	14
named	234	214
dickie	3	3
unfathomable	6	8
success	236	130
opposite	93	75
gender	35	18
presumed	8	12
lost	517	463
sea	72	87
sandlers	13	2
shecker	0	1
break	166	181
hes	834	956
locked	49	55
bathroom	37	22
presumably	23	62
vomited	0	6
worst	150	1471
references	86	65
mad	142	162
max	73	55
ii	94	134
wild	156	106
ladybugs	1	2
clear	249	235
reference	50	54
tribute	54	37
peter	267	187
lorre	12	5
masterpiece	266	105
talk	228	285
future	376	205
happens	275	375
army	123	146
wetbacks	0	1
towelheads	0	2
godless	3	1
eastern	27	24
european	93	98
commies	10	2
gather	30	22
forces	88	69
south	185	105
border	40	34
gary	72	81
busey	15	18
kicks	40	35
butts	5	9
laughable	23	230
example	361	471
reagan	6	21
era	228	137
cultural	75	48
fallout	6	1
bulletproof	0	6
wastes	7	24
decent	204	464
supporting	344	163
cast	1253	1021
headed	53	53
l	82	59
q	32	32
jones	101	128
thalmus	2	1
rasulala	2	1
generally	135	167
remakes	11	37
believing	40	45
exception	102	134
actually	1042	1510
far	818	1023
comment	185	202
remake	115	251
opinion	302	247
purely	48	61
comparison	67	86
written	445	460
question	205	207
capote	28	2
words	257	276
anthony	85	80
edwards	17	6
eric	87	57
roberts	42	53
superb	351	58
movies	2250	2570
case	433	499
wondered	39	34
number	351	249
famous	280	186
brother	370	237
certainty	7	4
profession	20	17
recommend	616	397
dvd	748	620
shelves	12	14
harvey	25	37
lights	68	51
candle	21	7
anchored	5	3
performance	1171	559
spall	7	1
predict	21	20
titular	16	11
morose	6	6
tight	83	30
teacher	84	99
catharsis	5	3
based	457	388
deep	239	137
emotions	181	55
unveiled	1	2
surprising	134	54
spalls	1	0
range	85	63
feelings	176	71
conveyed	22	15
moving	363	162
portray	90	68
mike	71	98
leigh	19	26
repertory	3	0
expected	193	238
school	481	516
bus	57	52
trip	161	132
used	533	566
comic	304	233
purposes	27	29
simpsons	19	14
central	157	109
situation	239	172
visit	94	59
salisbury	3	0
cathedral	6	4
rhidian	1	0
brooks	68	39
contained	35	29
structured	10	11
dramatic	243	159
formally	2	0
divided	22	11
acts	112	140
introduced	98	100
urban	89	29
british	308	213
racially	3	4
religiously	6	2
diverse	25	8
uniforms	9	14
tell	466	597
private	94	72
public	166	172
rapping	2	4
asians	4	2
muslims	10	25
bullies	12	9
mean	331	686
naturally	76	93
individually	6	5
recognized	51	21
shameless	8	26
exuberant	13	1
representing	11	11
usual	328	256
junior	28	34
social	205	128
pressures	15	2
celia	1	6
imrie	1	0
puts	145	94
warmth	35	12
supervisors	1	0
role	1151	770
martinets	1	0
leads	259	194
transformative	4	0
crisis	59	36
remain	71	61
amusingly	9	8
oblivious	11	15
portrayed	206	147
ben	204	160
miles	91	71
coupling	5	0
spoon	5	10
fed	19	27
didactic	3	3
lesson	85	76
religious	85	94
tolerance	13	16
faith	91	78
bbc	67	41
showed	149	122
england	111	53
easter	3	7
america	236	159
u	184	114
christmas	158	208
nathalie	3	2
summer	150	96
key	154	108
harveys	5	2
redemption	51	26
played	936	610
week	142	137
preaching	10	15
touching	216	52
reach	84	76
unexpected	106	38
unfortunately	255	560
saw	998	904
intense	171	58
interrupted	18	8
commercials	32	49
heavy	141	149
handed	38	71
pointedly	2	1
calling	45	65
road	136	122
pilgrimage	11	0
quiet	116	53
best	2597	1270
evocation	6	0
men	653	503
holiday	39	46
themed	14	15
submerged	4	3
wouldnt	218	430
right	1022	1054
looking	645	890
champagne	3	4
product	51	73
repeatedly	28	42
stranger	52	39
sounds	162	234
editing	178	269
grade	90	194
amateurish	15	113
b	257	418
c	134	142
hire	29	46
couple	472	563
cameramen	3	3
ok	180	396
designer	21	28
poster	28	38
said	553	758
problems	267	255
post	151	134
production	466	600
dubbing	37	59
plots	82	99
sg	31	4
flick	266	495
rent	147	289
emails	3	2
asking	45	96
forgiveness	8	16
miss	319	221
kelly	132	43
lebrock	0	3
jimbo	0	1
note	245	212
litman	0	1
mystery	272	233
theater	213	294
riff	30	8
breeder	1	3
favorite	549	173
simply	507	652
complete	244	404
absurdity	24	19
credit	153	174
mstk	2	101
trying	583	916
ridicule	5	11
dialog	166	303
playwright	27	9
hand	330	412
disown	2	2
club	127	136
buy	232	234
hamlet	63	35
stephen	100	106
king	324	238
adaptation	141	130
scripted	33	47
himself	734	581
family	1194	675
newcomers	8	9
rural	48	17
maine	3	6
pet	67	43
cemetery	12	17
home	631	522
father	755	371
dale	13	7
midkiff	6	5
finds	345	195
micmac	0	1
burial	11	16
ground	90	124
powers	106	82
resurrection	8	10
buried	25	50
horror	806	1259
clumsy	14	49
insulting	9	62
inept	19	100
absolute	94	124
element	151	97
midkiffs	0	1
worthless	10	67
end	1610	1778
genuinely	95	55
disturbing	151	144
finale	90	75
point	830	1136
dismiss	19	6
memorable	268	122
gwynne	11	4
wise	130	87
old	1381	1324
aged	82	66
neighbor	48	29
brad	68	32
greenquist	1	1
disfigured	5	6
spirit	171	130
victor	88	61
pascow	2	1
redeem	9	36
cameo	75	79
minister	24	14
followed	110	114
sequel	166	324
mary	196	136
lambert	10	7
wonder	239	401
shes	451	452
mainstream	78	49
work	1448	1239
matrix	49	66
blockbuster	38	67
fantastic	399	90
provoking	79	29
twilight	37	21
zone	55	43
ish	24	22
manner	125	120
rule	61	43
applies	19	13
match	312	128
predecessor	19	18
worse	129	766
compare	107	87
reloaded	1	6
explodes	13	19
screen	765	723
professional	110	85
fashion	93	110
seconds	57	160
trinity	3	17
shot	549	690
dream	240	157
immediately	143	139
nose	33	69
dives	6	7
disastrous	18	22
gradually	46	21
gains	8	6
momentum	19	15
smith	191	67
battle	224	149
place	778	699
loses	83	68
reaches	32	26
minute	172	314
chase	118	159
groan	3	16
worthy	100	109
overlong	11	29
zion	1	1
rave	12	38
absolutely	378	521
pathetic	39	241
excuse	38	199
porn	61	177
depressive	7	3
bullet	27	41
aspect	156	142
overuse	4	10
interesting	889	1003
linear	22	21
basically	197	310
series	1231	780
stylish	65	34
diversions	2	3
prevent	38	39
realising	4	4
works	505	252
incorrect	12	22
principle	23	14
franchise	32	52
quickly	204	191
descended	3	6
drenched	4	9
misfire	2	16
franchises	2	3
wars	106	83
saga	31	22
poor	237	918
hugo	21	4
weavings	1	1
keanu	10	14
reeves	24	29
definitive	26	9
neo	35	29
room	275	273
impact	155	51
academy	104	58
award	158	79
nominee	12	3
laurence	27	12
fishburne	19	8
reduced	23	46
monotonous	4	18
mentor	16	12
dialogue	342	568
carrie	61	19
ann	122	36
moss	21	10
actress	364	354
thrown	88	156
disappointment	43	196
unlikely	57	59
flock	24	13
ones	382	318
die	210	266
sub	84	144
genre	471	293
effect	198	182
bonanzas	1	1
minority	21	28
report	32	34
imdb	148	254
ulli	3	7
lommels	1	5
boogey	0	8
low	350	679
budget	385	715
chiller	10	6
thats	918	1348
worth	711	610
ultimately	164	141
taken	308	285
seriously	199	387
left	603	723
door	101	166
open	201	195
minded	45	50
seeing	669	576
day	990	665
browsing	10	6
videos	43	56
store	132	189
mall	10	43
entitled	15	34
return	209	161
earlier	215	181
happy	354	224
shell	34	47
bucks	37	50
known	354	272
pros	15	16
ha	40	73
laugh	344	465
hunk	4	12
cow	7	25
dung	3	17
lets	245	387
footage	174	234
um	10	27
mercifully	1	24
yeah	80	200
cons	26	15
start	465	555
decisions	41	32
total	120	270
bore	24	85
scary	224	383
happening	107	116
stiff	27	54
likely	126	130
whatsoever	37	172
probably	877	886
nonexistent	5	18
shoddily	0	3
direction	367	441
plain	87	238
awful	101	946
tries	289	475
artsy	12	36
fartsy	1	5
camera	435	625
flicker	6	4
filters	2	3
dull	79	386
hear	215	224
parts	401	331
ties	31	22
botched	7	15
suzanna	1	2
loves	146	111
lacey	2	6
natalie	23	14
events	327	223
depicted	81	50
beginning	447	418
mention	192	314
happened	292	356
new	1411	1122
ashamed	11	87
thing	972	1710
sucked	32	122
supposed	196	714
damn	77	135
doubt	217	231
forget	221	213
handled	66	59
lommel	4	22
idea	456	795
indian	147	104
fade	21	23
passage	19	10
spell	39	37
binding	4	1
appeal	118	156
diminish	11	1
transforms	13	12
abyss	7	6
artificially	7	7
styled	7	6
pop	103	84
culture	174	127
drill	5	14
oriented	27	13
extras	61	74
enhancing	5	0
p	83	100
t	144	167
songs	348	229
cinematography	374	247
speaks	55	61
excellent	1012	259
skills	94	77
josef	3	1
werching	1	0
accentuate	4	3
monumental	18	6
scope	41	26
entirety	14	21
gone	227	230
days	441	366
clipped	3	2
retakes	3	2
finalizing	2	0
meticulous	8	2
paid	50	158
crafting	6	0
poignant	82	16
sublime	27	8
emotional	276	121
intensity	69	34
instance	82	100
meena	12	1
kumari	10	1
refuses	70	30
yes	433	494
approval	11	4
nikah	1	0
marriage	147	74
bond	145	43
climbs	15	7
hill	62	86
berserk	10	7
traumatized	14	14
frenzy	15	11
raj	28	22
kumar	24	20
follows	175	119
strong	480	207
gale	1	11
wind	82	61
blew	36	23
veil	4	5
legs	44	45
kamal	9	12
amrohi	6	1
shall	42	32
remembered	106	55
golden	114	45
annals	5	3
cinemas	33	18
history	486	313
endeavoring	1	0
record	89	64
setting	202	164
manage	69	102
vital	22	21
meenas	1	0
lady	265	228
terminally	4	5
fighting	196	179
early	562	377
understand	499	500
loss	92	80
feel	957	832
loneliness	39	8
cheadles	9	0
johnson	58	59
reflected	18	6
fineman	24	0
felt	422	492
trapped	49	56
blessings	3	2
perspective	105	58
jada	11	1
wonderful	830	180
additive	1	0
pulls	77	36
tears	142	60
cheadle	32	0
supporter	10	6
oscars	72	36
fine	497	300
assure	14	19
youre	510	679
jerry	90	90
soylent	18	8
green	119	104
fiction	162	105
persuasive	8	2
todays	141	59
standards	103	106
flawed	63	36
dated	105	57
apocalyptic	18	14
touch	178	113
environmental	6	5
premise	137	283
typical	272	193
unsettling	34	16
quality	345	443
surpasses	14	4
contemporary	87	43
sf	20	14
flicks	70	135
personally	159	124
consider	150	151
york	298	174
depressing	66	83
alive	139	139
population	39	45
unemployment	7	3
unhealthy	4	7
climate	20	6
scarcity	2	1
available	151	74
synthetic	4	2
distributed	12	14
company	168	147
charlton	20	14
heston	36	30
shape	59	42
investigating	18	23
murder	373	260
soylents	1	0
eminent	5	0
executives	16	20
stumbles	14	20
scandals	3	2
dark	501	357
secrets	47	26
sentimental	61	26
climax	128	138
come	939	978
surprise	238	178
atmosphere	299	139
tense	69	19
uncanny	20	11
riot	32	21
grueling	5	4
easily	278	256
macabre	28	11
edward	73	52
modest	24	18
supportive	15	13
joseph	83	48
cotton	4	12
baron	11	20
abominable	4	12
dr	215	210
phibes	3	1
nightmarish	16	8
inevitable	41	32
humanity	97	62
fancy	36	33
space	216	245
hairy	5	17
monsters	59	122
attacking	12	25
stearns	1	0
sexually	41	46
frustrated	37	33
individual	89	51
moral	129	104
attitude	95	57
sexuality	67	31
problem	303	558
ogling	5	5
dancers	37	35
having	729	798
sex	361	651
believes	88	59
lose	145	72
innocence	74	26
andor	54	51
beauty	302	89
strolls	2	2
hills	39	76
lovemaking	6	3
couples	20	31
distance	33	40
shooting	115	153
powered	12	14
rifle	45	10
primary	41	31
existence	85	76
indulge	10	13
sexual	248	236
activity	15	26
afterthought	5	13
happily	38	40
heterosexual	8	6
male	185	228
pleased	53	17
treated	71	103
protracted	4	7
ladies	107	77
awfully	13	40
sans	12	8
clothes	81	124
serve	46	51
major	259	323
titillation	2	8
fair	117	161
deal	250	201
creepiness	10	14
factor	60	66
considerably	24	17
illustrates	17	6
compulsion	6	2
voyeurism	8	5
eyes	367	362
pulling	34	34
trigger	16	17
underscored	5	0
intrusive	5	12
atmospheric	53	38
soundtrack	282	189
penchant	10	9
trash	75	219
enjoy	692	402
degree	62	67
includes	123	88
lesbian	39	97
tryst	4	2
confounds	1	0
renders	13	5
uncertain	14	9
react	33	31
unfolds	52	17
pace	198	139
wraps	8	5
amusing	140	153
ironic	59	41
kinky	9	15
twisted	71	45
rarity	16	4
definitely	630	343
viewers	285	221
glued	23	16
luck	97	68
military	118	171
swashbuckler	4	0
loosely	26	51
rudyard	4	0
kiplings	5	0
poem	36	12
qualifies	18	10
imperial	10	3
india	64	41
cary	33	18
grant	85	54
knock	51	44
blows	26	43
knuckled	1	1
fists	10	9
faraway	4	2
fisted	2	14
yarn	20	9
dwells	5	8
exploits	26	12
rugged	18	4
sergeants	11	5
native	64	71
water	160	158
bearer	11	1
gunga	36	0
din	44	0
sam	132	144
jaffe	14	0
contend	13	8
bloodthirsty	4	19
cult	125	146
murderous	43	28
indians	31	33
called	389	480
thuggee	3	0
sergeant	28	14
archibald	14	1
cutter	21	9
outpost	1	1
macchesney	6	0
oscar	345	152
winner	100	43
mclaglen	32	3
informer	4	2
ballantine	6	0
douglas	120	72
fairbanks	23	2
jr	125	68
dawn	43	30
patrol	6	4
competitive	14	7
trio	35	27
drinking	47	62
brawling	2	3
loving	147	42
alpha	7	10
males	14	24
frolic	6	2
marry	79	49
emmy	18	7
stebbins	2	0
joan	116	70
fontaine	33	11
tea	41	35
business	213	167
drum	14	5
assorted	8	6
schemes	9	8
derail	5	3
ballentines	1	0
superiors	18	3
sgt	20	15
bertie	2	2
higginbotham	2	0
coote	3	0
sheik	1	5
steps	55	48
accompany	17	5
replace	20	25
principals	23	16
outwit	3	2
hating	14	23
stevens	27	30
celebrates	9	1
adventure	209	90
grand	116	64
style	506	410
heroes	111	79
tangle	5	0
thuggees	3	0
lenser	1	0
august	25	11
received	90	62
nomination	38	21
outstanding	198	48
hours	249	352
steves	2	8
spliced	0	13
constructed	30	26
wait	191	232
ball	76	91
recently	223	125
coughed	1	2
dog	197	207
lame	53	383
fx	27	56
zeta	3	20
fanatics	6	10
credibility	24	65
binks	3	4
quo	8	4
vadis	4	1
wow	109	165
amazing	619	166
ken	51	25
russell	61	46
quirky	71	35
stylized	26	11
artistic	108	98
nero	3	1
presented	143	117
incarnate	4	0
wacky	20	33
unfulfilled	4	5
emperor	16	19
circus	26	15
career	343	288
position	74	45
leading	208	162
empire	34	25
longed	8	3
klause	1	0
maria	88	29
bandaur	1	0
tremendous	73	13
persecuted	6	4
christians	16	44
vengeance	50	11
henchmen	10	12
murmurs	1	0
protecting	14	9
turn	386	424
son	430	341
genetically	4	7
mutated	3	16
monster	106	288
scarier	4	14
paul	347	169
frightening	84	46
hammerhead	5	20
shark	16	78
mouthful	0	3
dagger	5	7
sharp	81	42
teeth	40	61
ability	137	151
ambush	5	7
dry	47	86
land	115	96
thor	3	1
rock	299	226
tiburon	0	1
eats	16	28
sit	167	261
laughing	145	178
load	21	45
shreds	2	11
referred	24	18
entire	367	526
silly	190	352
arent	219	331
campy	42	65
contrived	39	100
spend	129	184
wandering	16	44
island	127	193
sudden	74	67
itching	1	2
madly	16	8
walking	95	177
forest	36	75
pour	9	12
feet	62	76
relive	5	5
allows	107	48
kill	281	441
scifi	10	31
channel	78	180
hottie	12	8
live	561	365
silver	39	50
lining	4	8
disappointing	53	206
biggest	134	170
settings	58	42
expectations	103	130
slasher	93	189
baught	0	1
urge	33	34
claim	68	72
stinks	10	48
killer	302	527
motivations	23	38
possible	276	337
makers	95	212
garbage	38	251
create	197	183
tiny	64	63
tension	189	161
carpenter	38	37
guess	267	511
easier	42	44
kindred	4	2
wich	4	3
enjoyable	339	152
soul	144	105
survivors	34	34
crap	81	546
eliza	1	7
dushku	0	7
junk	23	95
debut	116	46
daphne	5	10
zuniga	3	8
melrose	5	2
dies	92	141
